Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000254206,NPIPB11,0.009683193974901527,-0.48458668426133844,0.6968224184052898,0.012328553645946564,0.42652583767870667,0.8299863741987252,0.016965890828410983,1.6333003022940051,1.0
ENSG00000183336,BOLA2,0.19822067666269008,0.1170064910039379,0.7518154186573651,0.17964463884093565,-0.13490114858166002,0.716750810676046,0.2035906899409318,0.16061258695444103,1.0
ENSG00000181625,SLX1B,0.015948790076308398,1.0514662159788708,0.2343752866434582,0.00704488779768375,-0.8615995491179174,0.3102144639755236,0.0,0.2327623727102761,1.0
ENSG00000213648,SULT1A4,0.0005695996455824428,-2.0695491849824945,0.3270908065873675,0.003522443898841875,2.259415851843449,0.2865836270024693,0.0,3.2771564920687295,1.0
ENSG00000197471,SPN,0.010822393266066413,-3.093395926936863,4.2992712703284756e-14,0.09686720721815158,2.837952083405172,2.811398661862808e-12,0.08482945414205492,1.6333003022940051,1.0
ENSG00000103485,QPRT,0.28821742066471606,0.630890533158597,0.0031791426831152486,0.1814058607903566,-0.6474747437650701,0.0035796150001826776,0.22055658076934279,-0.16815401832391452,1.0
ENSG00000185905,C16orf54,0.007974395038154199,-3.622090208011274,2.578520429282073e-21,0.10919576086409814,3.4818082731798965,1.5190611595617605e-20,0.05089767248523295,1.010369951373829,1.0
ENSG00000079616,KIF22,0.343468586286213,-0.0727304322271749,0.8179723150401588,0.3769014971760807,0.15585966001685114,0.5420186623288217,0.2035906899409318,-0.6983608227319269,1.0
ENSG00000275857,AC009133.4,0.0022783985823297713,-0.7476210900951328,0.8347462516271581,0.003522443898841875,0.9374877569560871,0.8199353516336514,0.0,2.4698015700111258,1.0
ENSG00000103495,MAZ,0.7068731601678115,0.012503060434483015,1.0,0.7132948895154798,0.022376654542599184,1.0,0.5768402881659734,-0.27918533071265833,1.0
ENSG00000238045,AC009133.1,0.005695996455824428,-0.8325099876816457,0.4882129001381691,0.00704488779768375,0.2959417278685619,0.9662452556004143,0.033931781656821966,2.9552283971813678,1.0
ENSG00000167371,PRRT2,0.0022783985823297713,-1.4845866842613393,0.3270908065873675,0.003522443898841875,0.4520609297858451,0.9067188273358405,0.033931781656821966,4.054764070732282,0.9293908763084219
ENSG00000280789,PAGR1,0.2050558724096794,0.6362289112789075,0.008464171428577572,0.12856920230772845,-0.6474747437650703,0.010900758432126591,0.15269301745569885,-0.16246664548838696,1.0
ENSG00000013364,MVP,0.1970814773715252,-1.0737008282529628,6.935646350778463e-10,0.42621571175986694,1.0875132009606934,9.377579548362116e-10,0.3053860349113977,0.3229601816818548,1.0
ENSG00000103502,CDIPT,0.3195454011717504,-0.0012120552193415346,1.0,0.3011689533509803,-0.1062962143531423,0.8346201335608534,0.4920108340239185,0.6663776995434366,1.0
ENSG00000174938,SEZ6L2,0.005695996455824428,-2.195080067066354,0.00044773205781827307,0.02994077314015594,2.3849467339273076,0.00013628212993486166,0.0,0.46980157001112577,1.0
ENSG00000174939,ASPHD1,0.010822393266066413,0.2523789099048672,0.8336776638597153,0.00704488779768375,-0.3959359767691053,0.8214759205159438,0.016965890828410983,1.6921939913475734,1.0
ENSG00000174943,KCTD13,0.17144949332031528,0.6245350381187733,0.015467029099886932,0.1074345389146772,-0.6474747437650703,0.01578292497776842,0.13572712662728786,-0.05674424448470816,1.0
