Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000165973,NELL1,0.0,-2.1459516210218785,0.11727785938979901,0.006750036736506115,2.1459516210218785,0.11727785938979901
ENSG00000171714,ANO5,0.004962119442427515,2.554488097119213,0.1296503127270964,0.0005625030613755096,-2.554488097119213,0.1296503127270965
ENSG00000183161,FANCF,0.05127523423841766,-0.6549652685097365,0.0771441005598903,0.0826879500221999,0.6549652685097365,0.0771441005598903
ENSG00000148935,GAS2,0.00330807962828501,-0.030474403601942868,1.0,0.004500024491004077,0.030474403601942868,1.0
ENSG00000198168,SVIP,0.2911110072890809,-1.127653472302471,1.386111717158212e-10,0.6384409746612034,1.127653472302471,1.386111717158212e-10
ENSG00000246225,AC006299.1,0.00330807962828501,-0.31998102079692803,0.9448448104897401,0.005625030613755096,0.31998102079692803,0.9448448104897401
ENSG00000176971,FIBIN,0.04465907498184764,4.039914924289456,3.461469412174658e-11,0.0022500122455020384,-4.039914924289456,3.461469412174658e-11
ENSG00000129151,BBOX1,0.001654039814142505,2.554488097119213,0.41953933465675025,0.0,-2.554488097119213,0.41953933465675025
ENSG00000109881,CCDC34,0.041350995353562625,-1.0670002796270563,0.0022499295739412764,0.08943798675870603,1.0670002796270563,0.0022499295739412764
ENSG00000205213,LGR4,0.018194437955567556,-0.31998102079692803,0.7417910226703653,0.024187631639146914,0.31998102079692803,0.7417910226703653
ENSG00000148943,LIN7C,0.17036610085667803,0.14118564921111787,0.6884672308680306,0.15525084493964064,-0.14118564921111787,0.6884672308680306
ENSG00000245573,BDNF-AS,0.0,-1.904943521518084,0.17146683400396595,0.005625030613755096,1.904943521518084,0.17146683400396595
ENSG00000176697,BDNF,0.0,-0.030474403601942868,1.0,0.0011250061227510192,0.030474403601942868,1.0
ENSG00000121621,KIF18A,0.01654039814142505,-0.6007901283586978,0.359160225077848,0.02700014694602446,0.6007901283586978,0.359160225077848
ENSG00000169519,METTL15,0.057891393494987675,-0.09576586385366204,0.9574435202681087,0.06300034287405708,0.09576586385366204,0.9574435202681087
ENSG00000182255,KCNA4,0.0,0.5544880971192132,1.0,0.0005625030613755096,-0.5544880971192132,1.0
ENSG00000152219,ARL14EP,0.046313114795990144,-0.18744374994034185,0.7611807255081324,0.05400029389204892,0.18744374994034185,0.761180725508133
ENSG00000066382,MPPED2,0.00330807962828501,0.13945059784036928,1.0,0.003937521429628567,-0.13945059784036928,1.0
ENSG00000255480,AL353699.1,0.0,-3.693439416324372,0.000240062810474271,0.020812613270893857,3.693439416324372,0.000240062810474271
ENSG00000170959,DCDC1,0.0,-0.030474403601942868,1.0,0.0011250061227510192,0.030474403601942868,1.0
ENSG00000170946,DNAJC24,0.04465907498184764,0.38456309567690194,0.47700487649697815,0.03487518980528159,-0.38456309567690194,0.47700487649697815
ENSG00000148950,IMMP1L,0.10585854810512033,-0.7131629367849501,0.005557657732227785,0.175500955149159,0.7131629367849501,0.005557657732227785
ENSG00000109911,ELP4,0.05954543330913018,0.7866615392482474,0.22905024589092154,0.03487518980528159,-0.7866615392482474,0.22905024589092154
ENSG00000254584,AL035078.1,0.004962119442427515,3.554488097119213,0.05724605991047049,0.0,-3.554488097119213,0.05724605991047049
ENSG00000049449,RCN1,0.5871841340205893,0.5769508940749881,0.00048691590101377795,0.3937521429628567,-0.5769508940749881,0.00048691590101377795
ENSG00000183242,WT1-AS,0.00330807962828501,1.5544880971192132,0.4363519998073171,0.0011250061227510192,-1.5544880971192132,0.4363519998073171
ENSG00000149100,EIF3M,0.3506564405982111,-0.4839414893746392,0.011113964296383283,0.4916276756421954,0.4839414893746392,0.011113964296383283
ENSG00000186714,CCDC73,0.001654039814142505,2.554488097119213,0.41953933465675025,0.0,-2.554488097119213,0.41953933465675025
ENSG00000135378,PRRG4,0.001654039814142505,-1.3524024984893046,0.2816545281012277,0.007875042859257135,1.3524024984893046,0.2816545281012277
ENSG00000060749,QSER1,0.07443179163641273,0.36380453551010383,0.40836383290504047,0.058500318383052995,-0.36380453551010383,0.40836383290504047
ENSG00000121690,DEPDC7,0.001654039814142505,1.5544880971192132,0.6309268503187934,0.0005625030613755096,-1.5544880971192132,0.6309268503187934
ENSG00000176148,TCP11L1,0.01984847776971006,0.6110716254855815,0.4363519998073171,0.01350007347301223,-0.6110716254855815,0.4363519998073171
ENSG00000280798,LINC00294,0.041350995353562625,0.5825024732888107,0.2633183054156058,0.02812515306877548,-0.5825024732888107,0.2633183054156058
ENSG00000176102,CSTF3,0.12074490643240288,0.23256000223185147,0.5664640998113715,0.10350056329309376,-0.23256000223185147,0.5664640998113715
ENSG00000110422,HIPK3,0.17863629992739055,0.8797289260474122,0.0002176582809579261,0.09731302961796316,-0.8797289260474122,0.0002176582809579261
ENSG00000110427,KIAA1549L,0.02977271665456509,-1.043074440381576,0.01042462697312077,0.0641253489968081,1.043074440381576,0.01042462697312077
ENSG00000205177,C11orf91,0.00992423888485503,0.7768805184556618,0.6040493456502062,0.006187533675130605,-0.7768805184556618,0.6040493456502062
